date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:17:51	1477/1477	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2005:17:50%20GMT	https://prescricao-cfm-org.vercel.app/robots.txt		(from )
01:17:51	10537/10537	---MCZ	200	added ('OK')	text/html	etag:W/%22bc3a277e48327be0de5cf14af880726b%22	https://prescricao-cfm-org.vercel.app/	C:/Users/pedro/Downloads/ultima/prescricao-cfm-org.vercel.app/index.html	(from )
01:17:51	32988/32988	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e0298d8776184c724ae60f40ff9bc37b%22	https://prescricao-cfm-org.vercel.app/static/faviconcfm.ico	C:/Users/pedro/Downloads/ultima/prescricao-cfm-org.vercel.app/static/faviconcfm.ico	(from https://prescricao-cfm-org.vercel.app/)
01:17:51	129525/129525	---M--	200	added ('OK')	image/png	etag:%220aa61301d992a827eb5d3270f2061747%22	https://prescricao-cfm-org.vercel.app/static/BanerCFM.png	C:/Users/pedro/Downloads/ultima/prescricao-cfm-org.vercel.app/static/BanerCFM.png	(from https://prescricao-cfm-org.vercel.app/)
01:17:52	13149/13149	---M--	200	added ('OK')	image/png	etag:%2237c341e74ad1ee293f8f6f13ac3b4051%22	https://prescricao-cfm-org.vercel.app/static/qrcodeCFMAmostra.png	C:/Users/pedro/Downloads/ultima/prescricao-cfm-org.vercel.app/static/qrcodeCFMAmostra.png	(from https://prescricao-cfm-org.vercel.app/)
01:17:52	10582/10582	---MCZ	200	added ('OK')	text/html	etag:W/%22d2941bb0b4287718211bd5d130b64061%22	https://prescricao-cfm-org.vercel.app/resultado.html	C:/Users/pedro/Downloads/ultima/prescricao-cfm-org.vercel.app/resultado.html	(from https://prescricao-cfm-org.vercel.app/)
01:17:52	3718/3718	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2005:17:52%20GMT	https://prescricao-cfm-org.vercel.app/static/logo-menu.png	C:/Users/pedro/Downloads/ultima/prescricao-cfm-org.vercel.app/static/logo-menu.4.delayed	(from https://prescricao-cfm-org.vercel.app/resultado.html)
01:17:53	10537/10537	---MCZ	200	added ('OK')	text/html	etag:W/%22bc3a277e48327be0de5cf14af880726b%22	https://prescricao-cfm-org.vercel.app/index.html	C:/Users/pedro/Downloads/ultima/prescricao-cfm-org.vercel.app/index-2.html	(from https://prescricao-cfm-org.vercel.app/resultado.html)
01:17:53	86819/86819	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Feb%202026%2005:17:53%20GMT	https://www.gov.br/iti/pt-br/canais_atendimento/imprensa/logo_iti.png	C:/Users/pedro/Downloads/ultima/www.gov.br/iti/pt-br/canais_atendimento/imprensa/logo_iti.png	(from https://prescricao-cfm-org.vercel.app/resultado.html)
01:17:54	28606/28606	---M--	200	added ('OK')	image/png	etag:%226fbe-60bdb9a4a5ea8%22	https://sites.ufpe.br/especializacao/wp-content/uploads/sites/11/2019/12/logo-patria-amada-brasil-horizontal.png	C:/Users/pedro/Downloads/ultima/sites.ufpe.br/especializacao/wp-content/uploads/sites/11/2019/12/logo-patria-amada-brasil-horizontal.png	(from https://prescricao-cfm-org.vercel.app/resultado.html)
01:17:54	37622/37622	---M--	200	added ('OK')	image/png	etag:%2292f6-6131226fede7c%22	https://crmsc.org.br/wp-content/uploads/2023/04/CFM.png	C:/Users/pedro/Downloads/ultima/crmsc.org.br/wp-content/uploads/2023/04/CFM.png	(from https://prescricao-cfm-org.vercel.app/resultado.html)
01:17:55	39563/39563	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Dec%202025%2007:37:41%20GMT	https://i.ibb.co/vx9XSMrW/certificado.png	C:/Users/pedro/Downloads/ultima/i.ibb.co/vx9XSMrW/certificado.png	(from https://prescricao-cfm-org.vercel.app/resultado.html)
01:17:56	3718/3718	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2005:17:56%20GMT	https://prescricao-cfm-org.vercel.app/db.js	C:/Users/pedro/Downloads/ultima/prescricao-cfm-org.vercel.app/db.b.delayed	(from https://prescricao-cfm-org.vercel.app/resultado.html)
01:17:56	171848/171848	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2002:39:27%20GMT	https://logodownload.org/wp-content/uploads/2023/01/governo-federal-2023-logo-lula.png	C:/Users/pedro/Downloads/ultima/logodownload.org/wp-content/uploads/2023/01/governo-federal-2023-logo-lula.png	(from https://prescricao-cfm-org.vercel.app/resultado.html)
